date,weight
1-12-14,3.69
1-11-14,3.682
1-10-14,3.685
1-9-14,3.684
1-8-14,3.685
1-7-14,3.683
1-6-14,3.68
1-5-14,3.686
1-4-14,3.691
1-3-14,3.679
1-2-14,3.68
1-1-14,3.675
1-12-13,3.686
1-11-13,3.686
1-10-13,3.683
1-9-13,3.685
1-8-13,3.699
1-7-13,3.697
1-6-13,3.702
1-5-13,3.712
1-4-13,3.713
1-3-13,3.716
1-2-13,3.728
1-1-13,3.738
1-12-12,3.746
1-11-12,3.749
1-10-12,3.745
1-9-12,3.741
1-8-12,3.74
1-7-12,3.734
1-6-12,3.73
1-5-12,3.731
1-4-12,3.725
1-3-12,3.719
1-2-12,3.716
1-1-12,3.704