date,congenital,abudhabi,ajman,dubai,fuj,rak,sharjah,uaq
1/12/2014,0.312,0.219,0,0.482,0,0.543,0.382,0
1/11/2014,0.226,0.211,0.455,0.154,0.296,0,0.275,1.786
1/10/2014,0.269,0.239,0.154,0.34,0.292,0.491,0.182,0
1/9/2014,0.297,0.293,0.455,0.2,0,0.273,0.549,0
1/8/2014,0.483,0.434,0.426,0.497,0.593,0.483,0.621,0
1/7/2014,0.301,0.187,0.46,0.39,0,0.763,0.276,0
1/6/2014,0.267,0.125,0.153,0.392,0,0.265,0.577,0
1/5/2014,0.392,0.377,0.309,0.533,0.248,0.51,0.182,0
1/4/2014,0.417,0.314,0.909,0.558,0,0,0.381,0
1/3/2014,0.397,0.306,0.577,0.443,0,0,0.743,0
1/2/2014,0.364,0.303,0.503,0.348,0.284,0.531,0.478,0
1/1/2014,0.417,0.581,0.139,0.415,0.535,0.23,0.176,0
1/12/2013,0.356,0.398,0.156,0.27,0.275,0.267,0.617,0
1/11/2013,0.246,0.255,0.308,0.279,0.287,0,0.19,0
1/10/2013,0.379,0.52,0.615,0.115,0.279,0.551,0.443,0
1/9/2013,0.253,0.38,0.281,0.078,0.277,0.265,0.276,0
1/8/2013,0.272,0.247,0.148,0.372,0,0.533,0.189,0
1/7/2013,0.348,0.465,0.139,0.297,0.247,0.243,0.361,0
1/6/2013,0.244,0.223,0.442,0.232,0.278,0.292,0.095,1.923
1/5/2013,0.238,0.245,0.6,0.194,0.282,0.253,0.094,0
1/4/2013,0.382,0.363,0.151,0.398,0.264,0.258,0.64,0
1/3/2013,0.332,0.34,0.292,0.191,0,0.259,0.723,1.923
1/2/2013,0.287,0.269,0.166,0.283,0.669,0,0.426,0
1/1/2013,0.354,0.395,0.151,0.431,0,0.248,0.351,0
1/12/2012,0.331,0.312,0.437,0.499,0,0,0.177,0
1/11/2012,0.366,0.41,0.435,0.358,0.299,0.27,0.187,2.041
1/10/2012,0.327,0.27,0.714,0.231,0.525,0.498,0.372,0
1/9/2012,0.328,0.413,0.436,0.235,0,0,0.465,0
1/8/2012,0.26,0.152,0.299,0.345,0.284,0.557,0.268,0
1/7/2012,0.301,0.301,0.591,0.221,0.548,0.506,0.183,0
1/6/2012,0.314,0.264,0.47,0.204,0,1.535,0.29,0
1/5/2012,0.295,0.37,0.572,0.148,0.323,0.813,0.091,0
1/4/2012,0.305,0.257,0.794,0.197,0.287,0,0.539,0
1/3/2012,0.455,0.211,0.142,0.635,1.166,1.295,0.459,0
1/2/2012,0.217,0.231,0,0.241,0,0.604,0.199,0
1/1/2012,0.41,0.239,0.153,0.713,0.565,0,0.453,0